TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
3235,2033,2033,0,676,3.01,119442,1.38,1.1,0.63,88,11,0,0,0,0,0,3,0,0,3,0,0,2,2,2,0,0,0,0,0,0,712,35,0,0,0,0,0,1800
3236,3542,3542,0,1235,2.87,140754,1.37,1.51,0.65,486,323,17,0,0,5,5,11,6,11,17,11,17,24,0,20,12,2,118,5,25,18,1340,105,0,0,0,0,0,12360
3237,3222,3222,0,1690,1.91,64352,1.02,1.47,0.17,629,11491,0,0,9,586,373,312,3024,143,210,1061,276,1197,164,1111,66,635,348,1350,506,120,1801,111,0,0,0,0,0,1910
3238,1349,1349,0,482,2.8,95731,1.24,1.71,0.54,157,114,0,0,0,12,0,4,4,2,19,0,7,0,0,0,1,12,22,12,19,0,501,20,0,0,0,0,0,490
3239,3453,3453,0,1098,3.14,173206,1.25,2.36,0.8,218,145,1,2,0,10,2,2,2,0,2,48,10,10,6,13,0,14,5,1,5,13,1000,1,0,0,0,0,0,3140
3240,1591,1591,0,565,2.82,208578,1.22,0.01,0.64,257,308,4,0,0,28,6,3,24,4,5,5,9,21,0,51,30,11,13,70,23,0,491,1,0,0,0,0,0,900
3241,3375,3375,0,1273,2.65,83595,1.38,1.71,0.47,186,5057,10,0,2,61,32,53,1346,5,83,161,294,784,11,156,45,493,34,1236,200,53,1422,149,0,0,0,0,0,1410
3243,2512,2512,0,1047,2.4,98684,1.31,2.33,0.47,451,96,0,0,0,12,0,3,10,0,2,9,10,5,0,17,0,2,14,0,12,0,916,1,1108,10,0,0,35,1770
3244,3426,3426,0,1304,2.63,74210,1.29,2.25,0.49,355,323,33,0,0,42,0,2,10,15,2,17,31,11,0,26,22,33,58,0,20,0,1277,1,4225,234,0,10751,2147,22600
3245,3233,3233,0,1214,2.66,84331,1.2,2.28,0.5,416,520,24,0,14,89,7,23,21,0,9,12,12,6,0,153,31,3,42,0,46,28,1194,1,3654,286,0,7422,1087,16400
3246,2702,2694,8,1023,2.63,94282,1.19,2.18,0.47,451,262,4,8,0,17,0,11,43,34,2,21,15,35,0,8,0,28,9,8,20,0,876,1,2115,40,0,1201,332,4010
3247,3053,2956,97,1090,2.71,76911,1.29,2.06,0.57,486,2039,9,0,0,123,32,55,268,36,43,272,313,105,3,51,7,342,37,111,224,9,952,1,1779,156,8,935,369,3690
3248,4007,4007,0,1495,2.68,67908,1.41,2.21,0.54,312,1173,4,0,0,76,10,22,96,10,12,48,32,517,0,58,33,17,89,65,76,8,1357,1,1626,175,13,1135,287,3880
3249,2550,2498,52,1144,2.18,48316,0.97,1.7,0.35,591,3970,3,32,3,61,637,137,153,14,40,287,100,121,374,153,99,295,47,684,119,611,1110,1,412,503,163,119,136,1820
3250,3334,3334,0,1188,2.81,70502,1.25,2.03,0.54,258,154,4,0,0,39,4,4,21,16,2,5,16,10,0,15,0,6,0,0,10,0,1069,1,1691,42,0,744,323,3050
3251,3573,3573,0,1404,2.54,38667,0.94,1.42,0.43,427,1372,3,14,0,30,0,12,233,22,17,54,49,20,2,33,9,34,28,332,161,319,1352,1,694,267,20,118,145,2010
3252,1574,1574,0,580,2.71,91323,1.23,2.14,0.49,170,118,4,0,0,13,0,11,15,0,0,0,9,0,0,4,23,0,0,14,25,0,457,1,1050,42,0,3229,687,5720
3253,1497,1497,0,539,2.78,70769,1.51,2.55,0.54,155,94,36,0,0,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,13,20,487,1,2796,12,0,8728,1211,15000
3254,2629,2629,0,1013,2.6,48024,1.04,1.73,0.5,237,999,68,0,0,70,33,31,46,149,24,12,11,8,0,9,54,42,12,5,193,231,945,1,2538,175,116,7793,1186,12950
3255,1642,1642,0,692,2.37,72024,1.05,2.03,0.46,266,2051,12,8,5,481,176,53,90,32,18,183,222,167,0,64,6,111,45,37,117,224,636,1,989,207,565,2792,471,5620
3256,2399,2399,0,873,2.75,68978,1.45,2.25,0.52,270,149,67,0,0,24,0,0,0,2,2,2,2,0,0,12,16,0,0,0,12,7,869,1,2737,4,0,7192,902,14680
3257,2879,2823,56,1187,2.38,65173,1.21,2.13,0.44,492,4259,16,0,0,201,553,112,126,15,42,61,36,102,35,1035,4,1630,79,27,112,73,1122,1,1349,336,589,2510,304,5380
3258,1452,1431,21,605,2.37,47651,1.01,1.62,0.41,225,2337,0,8,18,119,228,195,390,42,28,136,287,114,0,163,8,163,5,264,121,49,510,1,306,179,69,36,118,840
